2026-04-21 09:42:57.685 [WRN] Microsoft.EntityFrameworkCore.Model.Validation Entity 'Supplier' has a global query filter defined and is the required end of a relationship with the entity 'Payable'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-04-21 09:42:57.691 [WRN] Microsoft.EntityFrameworkCore.Model.Validation Entity 'Product' has a global query filter defined and is the required end of a relationship with the entity 'ProductBatch'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-04-21 09:42:57.693 [WRN] Microsoft.EntityFrameworkCore.Model.Validation Entity 'Customer' has a global query filter defined and is the required end of a relationship with the entity 'Receivable'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-04-21 09:42:58.021 [WRN] Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager No XML encryptor configured. Key {d6f119c6-f0e8-4dff-b1df-46980910b72a} may be persisted to storage in unencrypted form.
2026-04-21 09:57:56.063 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Products responded 200 in 18.6588 ms
2026-04-21 09:58:03.125 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Products/Edit/1 responded 200 in 63.8588 ms
2026-04-21 09:58:11.968 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /Products/Edit/1 responded 302 in 154.2675 ms
2026-04-21 09:58:11.979 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Products responded 200 in 3.8645 ms
2026-04-21 09:58:15.722 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Products responded 200 in 2.8258 ms
2026-04-21 09:58:17.198 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Products responded 200 in 2.4805 ms
2026-04-21 09:58:17.738 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Products responded 200 in 2.2472 ms
2026-04-21 10:00:42.742 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Suppliers responded 200 in 3.1019 ms
2026-04-21 10:00:43.670 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Customers responded 200 in 2.3618 ms
2026-04-21 10:00:46.272 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Sales responded 200 in 2.7070 ms
2026-04-21 10:00:46.925 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Inventory/Expiring responded 200 in 1.7529 ms
2026-04-21 10:00:47.932 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Inventory/Transactions responded 200 in 2.1654 ms
2026-04-21 10:00:48.436 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Stocktakes responded 200 in 1.7749 ms
2026-04-21 10:00:49.310 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Receivables responded 200 in 1.6638 ms
2026-04-21 10:00:51.870 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET / responded 200 in 4.2448 ms
2026-04-21 10:00:51.899 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/dashboard/top-products responded 200 in 1.3236 ms
2026-04-21 10:00:51.900 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/dashboard/trend responded 200 in 2.8862 ms
2026-04-21 10:00:51.900 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/dashboard/stock-by-category responded 200 in 2.0509 ms
